,Abastecimento de Água - Nível de Atendimento - Censo Demográfico (Em %),Coleta de Lixo - Nível de Atendimento - Censo Demográfico (Em %),Esgoto Sanitário - Nível de Atendimento - Censo Demográfico (Em %),Consumo de Energia Elétrica - Total (Em MWh),Consumo de Energia Elétrica - Industrial (Em MWh),Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh),Consumo de Energia Elétrica - Rural (Em MWh),Consumo de Energia Elétrica - Residencial (Em MWh),Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh),Taxa Geométrica de Crescimento Anual da População - 2010/2020 (Em % a.a.),Empregos Formais de Homens ,Empregos Formais de Mulheres ,Empregos Formais das Pessoas de até 24 Anos ,Empregos Formais das Pessoas de 25 a 39 Anos ,Empregos Formais das Pessoas de 40 a 59 Anos ,Empregos Formais das Pessoas de 60 Anos e Mais ,Empregos Formais das Pessoas com Ensino Fundamental Incompleto ,Empregos Formais das Pessoas com Ensino Fundamental Completo ,Empregos Formais das Pessoas com Ensino Médio Completo ,Empregos Formais das Pessoas com Ensino Superior Completo ,Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura ,Empregos Formais da Indústria ,Empregos Formais da Construção ,Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas ,Empregos Formais dos Serviços ,Participação dos Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Indústria no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Construção no Total de Empregos Formais (Em %),Participação dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas no Total de Empregos Formais (Em %),Participação dos Empregos Formais dos Serviços no Total de Empregos Formais (Em %),Frota de Veículos - Total ,Número de Habitantes por Total de Veículos ,Frota de Automóveis ,Número de Habitantes por Automóvel ,Frota de Ônibus ,Frota de Caminhões ,Frota de Reboques ,Frota de Motocicletas e Assemelhados ,Frota de Microônibus e Camionetas ,Frota de Veículos de Outro Tipo ,Índice de Desenvolvimento Humano Municipal - IDHM ,Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ,Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ,Índice de Desenvolvimento Humano Municipal - IDHM Educação ,Índice de Desenvolvimento Humano Municipal - IDHM Renda ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Riqueza ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Longevidade ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Escolaridade ,Leitos de Internação ,Leitos de Internação (Coeficiente por mil habitantes),Leitos SUS ,Leitos SUS (Coeficiente por mil habitantes),Taxa de Natalidade (Por mil habitantes),Taxa de Fecundidade Geral (Por mil mulheres entre 15 e 49 anos),Índice de Envelhecimento (Em %),Óbitos Gerais (por local de residência) ,Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes),Óbitos da População de 15 a 34 Anos ,Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária),Óbitos da População de 60 Anos e Mais ,Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária),PIB (Em mil reais correntes),PIB per Capita (Em reais correntes),Participação no PIB do Estado (Em %),População ,População Masculina ,População Feminina ,Razão de Sexos ,População Urbana ,População Rural ,Grau de Urbanização (Em %),População de 0 a 3 Anos ,População de 4 a 6 Anos ,População de 6 Anos ,População de 7 a 10 Anos ,População de 11 a 14 Anos ,População de 15 a 17 Anos ,População de 18 a 19 Anos ,Auxiliares de Enfermagem Registrados no COREN/SP ,Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Dentistas Registrados no CRO/SP ,Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes),Enfermeiros Registrados no COREN/SP ,Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes),Fonoaudiólogos registrados no CRFa/SP ,Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes),Médicos Registrados no CRM/SP ,Médicos Registrados no CRM/SP (Coeficiente por mil habitantes),Técnicos de Enfermagem Registrados no COREN/SP ,Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Técnicos de Prótese Dentária Registrados no CRO/SP ,Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes),Renda per Capita - Censo Demográfico (Em reais correntes),Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %),Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %),Area,densidade
136,99.71,99.93,98.2,14383,5493,1151,1939,4600,1200,1.26,643,324,105,374,428,60,113,275,433,146,159,346,36,134,292,16.44,35.78,3.72,13.86,30.2,3025,1.92,1687,3.44,23,134,120,716,345,0,0.7190000000000001,476,0.816,0.648,0.7040000000000001,32,67,71,0,0.0,0,0.0,9.31,33.88,90.21,37,6.38,0,0.0,26,2850.88,161860.84,28198.75,0.0076349999999999986,5926,2940,2986,98.46,5081,845,85.74,265,181,62,267,298,202,150,7,1.19,2,0.68,6,1.02,0,0.0,2,0.34,12,2.05,0,0.0,561.28,17.97,4.55,246.825,24.008913197609644
137,99.6,99.84,97.08,6648,937,522,2365,2195,629,-0.33,519,256,78,337,314,46,114,150,423,88,156,183,61,61,314,20.13,23.61,7.87,7.87,40.52,1736,2.8,1044,4.66,24,91,50,307,219,1,0.69,608,0.8109999999999999,0.619,0.653,25,80,59,6,1.24,6,1.24,8.63,35.35,90.42,39,8.02,4,265.08,24,2857.14,80081.91,16430.43,0.003778,4843,2463,2380,103.49,3969,874,81.95,227,161,54,236,268,197,148,8,1.65,5,2.06,7,1.44,0,0.0,0,0.0,11,2.27,0,0.0,406.58,38.76,13.57,303.83,15.939834776026068
138,99.85,99.7,96.75,31690,23425,1191,3886,2486,701,0.23,785,335,159,451,439,71,197,319,447,157,227,192,0,318,383,20.27,17.14,0.0,28.39,34.2,2696,1.46,1445,2.73,15,276,168,405,387,0,0.754,199,0.841,0.7,0.728,37,89,59,0,0.0,0,0.0,12.17,46.29,89.55,22,5.58,0,0.0,15,2365.93,208766.65,53040.31,0.009848,3962,1991,1971,101.01,2475,1487,62.47,179,142,47,181,182,164,125,13,3.29,2,1.01,5,1.26,0,0.0,0,0.0,12,3.04,0,0.0,646.92,19.74,6.91,278.622,14.219982628794568
139,98.35,99.9,94.67,138389,62310,13039,1671,49075,12294,1.96,5246,4154,1392,3955,3569,484,954,1334,5437,1675,82,2639,465,1851,4363,0.87,28.07,4.95,19.69,46.41,38890,1.77,23474,2.93,235,1138,915,8961,4154,13,0.769,115,0.8759999999999999,0.6970000000000001,0.746,33,74,63,68,0.97,33,0.47,10.94,38.45,58.52,387,5.62,19,81.1,262,3274.18,1575660.76,23292.4,0.07432899999999999,71282,35411,35871,98.72,66201,5081,92.87,3662,2741,911,3635,3700,2934,2088,89,1.27,53,1.51,65,0.93,3,0.04,36,0.51,274,3.91,5,0.14,703.59,17.14,7.59,154.665,460.8799663789482
140,97.95,99.72,96.64,49321,34136,2374,5170,5634,2007,-0.31,1677,502,491,896,706,86,359,460,1169,191,167,1392,95,141,384,7.66,63.88,4.36,6.47,17.62,5473,1.29,3016,2.33,49,290,213,1155,749,1,0.722,452,0.8490000000000001,0.63,0.705,33,75,61,0,0.0,0,0.0,13.78,58.22,155.1,52,7.39,1,51.73,40,2479.85,272164.31,38555.65,0.012838999999999998,6997,3489,3508,99.46,5364,1633,76.66,254,198,67,269,282,227,172,27,3.85,10,2.85,20,2.85,1,0.14,5,0.71,26,3.71,0,0.0,580.78,18.73,5.69,441.68,15.841785908349935
141,90.98,99.29,52.94,711603,249346,173158,3606,249812,35682,2.12,40497,32958,11499,35132,24419,2405,5148,8789,44391,15127,386,18364,2705,18399,33601,0.53,25.0,3.68,25.05,45.74,143005,1.67,94952,2.51,828,3506,1292,22269,20077,81,0.78,66,0.851,0.7070000000000001,0.789,46,72,47,667,2.75,111,0.46,17.41,60.7,48.57,1427,5.99,93,116.62,940,3696.86,11573369.38,49521.7,0.5459510000000001,247424,121053,126371,95.79,247424,0,100.0,15138,11715,3839,14181,12659,10227,7563,1069,4.4,405,3.34,821,3.38,54,0.22,392,1.61,1355,5.58,34,0.28,882.64,21.22,8.97,323.994,763.6684629962282
142,99.79,100.0,99.64,110092,46715,10601,9296,29220,14261,0.84,5592,3442,1464,4313,2889,368,790,1370,5221,1653,1165,3459,89,1591,2730,12.9,38.29,0.99,17.61,30.22,22389,1.51,12863,2.64,176,1304,921,4119,3003,3,0.7559999999999999,188,0.857,0.6829999999999999,0.737,42,70,44,15,0.44,13,0.38,12.04,44.47,75.98,243,7.17,10,89.59,187,3878.86,1035235.95,30780.36,0.048835,34428,17154,17274,99.31,33919,509,98.52,1673,1280,425,1665,1653,1340,983,104,3.04,44,2.58,44,1.29,4,0.12,20,0.59,131,3.83,3,0.18,663.68,14.98,3.8,311.423,110.55060159333124
143,97.41,99.94,94.24,18178,1134,1230,6774,7268,1773,1.06,1124,538,218,723,598,123,538,349,537,238,816,242,0,179,425,49.1,14.56,0.0,10.77,25.57,4075,2.03,2401,3.44,32,177,134,681,650,0,0.7340000000000001,356,0.802,0.682,0.723,33,73,51,0,0.0,0,0.0,12.83,48.05,77.68,56,6.78,6,217.79,34,2791.46,195653.9,23898.12,0.00923,8425,4265,4160,102.52,6987,1438,82.93,427,327,108,410,391,342,249,24,2.88,9,2.16,9,1.08,1,0.12,3,0.36,42,5.03,0,0.0,606.96,19.89,4.35,385.23,21.87005165745139
144,99.54,99.47,97.05,277340,178037,23697,1329,62455,11822,0.37,10701,5740,1885,7410,6394,752,770,1407,11076,3188,142,6906,402,3425,5566,0.86,42.0,2.45,20.83,33.85,41491,1.91,24936,3.18,55,915,680,10471,4423,11,0.7879999999999999,40,0.871,0.758,0.742,37,66,50,103,1.29,67,0.84,11.59,44.3,81.59,641,8.07,46,190.92,443,3518.95,2136728.67,27007.2,0.100796,79927,38818,41109,94.43,78112,1815,97.73,3982,3192,1065,4159,3969,3013,2154,127,1.59,164,4.12,134,1.68,25,0.31,162,2.03,413,5.18,9,0.23,649.81,23.57,8.45,305.699,261.45653077046376
145,87.76,99.05,54.09,2351173,2097607,71574,0,86362,95630,0.85,19945,9259,3039,12136,12615,1414,2412,3676,16267,6849,15,7590,4536,3262,13801,0.05,25.99,15.53,11.17,47.26,56323,2.26,28838,4.41,403,4656,4285,12829,5057,255,0.737,330,0.821,0.6809999999999999,0.716,51,67,50,118,0.92,66,0.52,12.76,45.81,52.9,749,5.89,51,122.55,458,3232.41,12336913.5,97866.19,0.58197,129145,64116,65029,98.6,129145,0,100.0,6878,5394,1800,7115,7039,5562,3889,499,3.9,59,0.92,200,1.56,6,0.05,9,0.07,865,6.75,9,0.14,569.82,26.14,11.87,142.879,903.8767068638499
146,98.33,98.28,90.02,24231,636,2975,6759,11854,2008,-0.09,1383,894,262,979,926,110,505,451,989,332,511,164,76,462,1064,22.44,7.2,3.34,20.29,46.73,12482,1.74,6331,3.43,53,355,62,4147,1532,2,0.684,617,0.826,0.5760000000000001,0.672,21,66,49,40,1.84,25,1.15,11.3,44.08,93.86,166,7.65,7,103.15,122,3314.32,243538.14,11227.61,0.011488,21681,10990,10691,102.8,13609,8072,62.77,1029,813,267,996,949,890,670,16,0.74,21,1.94,26,1.2,0,0.0,8,0.37,54,2.49,0,0.0,393.08,43.44,16.47,1407.25,15.406644164149938
147,99.77,99.86,99.36,123291,52658,11620,22544,27693,8775,0.44,6386,3313,1282,4192,3683,542,1409,2714,4126,1450,1282,2976,697,1766,2978,13.22,30.68,7.19,18.21,30.7,24008,1.34,13440,2.39,193,1384,754,5153,3057,27,0.76,164,0.865,0.687,0.74,42,81,59,40,1.24,25,0.77,11.56,43.46,102.96,263,8.17,5,50.24,196,3562.99,1643346.16,51277.65,0.07752200000000001,32430,15933,16497,96.58,30064,2366,92.7,1341,1051,353,1420,1443,1105,813,39,1.21,74,4.58,68,2.11,6,0.19,44,1.36,121,3.75,3,0.19,666.9,16.99,5.29,753.706,43.02738733670689
148,99.43,99.61,96.55,1070101,538728,156008,0,332008,43358,0.47,54353,33988,12036,38514,34244,3547,6750,12849,54135,14607,0,38832,3379,18257,27873,0.0,43.96,3.82,20.67,31.55,211241,1.9,131901,3.04,665,5731,2757,49676,20439,72,0.757,182,0.8440000000000001,0.716,0.7170000000000001,42,66,56,624,1.55,555,1.38,13.9,48.1,51.16,2297,5.73,177,133.14,1434,3288.61,13412702.57,33572.88,0.632718,404477,195649,208828,93.69,404477,0,100.0,22728,18560,6137,22912,20427,16246,11862,2668,6.62,216,1.07,1103,2.74,43,0.11,86,0.21,2600,6.45,35,0.17,564.99,24.46,10.56,30.732,13161.427827671485
149,100.0,99.78,98.9,5723,3358,297,541,1114,413,0.17,223,90,20,108,170,15,55,48,131,79,9,142,1,13,148,2.88,45.37,0.32,4.15,47.28,917,1.87,463,3.7,8,72,32,242,100,0,0.741,297,0.8420000000000001,0.7040000000000001,0.6859999999999999,28,66,56,0,0.0,0,0.0,7.59,32.1,133.82,19,11.09,1,209.21,17,4619.57,60551.78,35369.03,0.002856,1717,868,849,102.24,1417,300,82.53,68,54,18,73,78,54,37,2,1.17,1,1.17,3,1.75,1,0.58,0,0.0,11,6.41,0,0.0,486.14,18.17,4.92,88.133,19.481919371858442
150,98.55,99.72,89.39,18553,498,2831,7021,6813,1389,-0.3,1017,1189,313,1002,802,89,247,319,1227,413,148,190,18,643,1207,6.71,8.61,0.82,29.15,54.71,8160,1.34,4785,2.29,69,503,106,1207,1486,4,0.7340000000000001,356,0.85,0.645,0.72,32,69,55,186,17.04,186,17.04,11.79,46.89,119.03,120,10.97,8,253.81,91,4228.62,299835.98,27342.33,0.014144,10886,5364,5522,97.14,8192,2694,75.25,476,411,136,498,418,334,248,28,2.57,21,3.85,32,2.93,5,0.46,21,1.92,144,13.2,1,0.18,576.46,20.84,5.97,223.749,48.65273140885546
151,99.92,99.96,99.45,12886,3615,1087,307,5735,2141,1.16,417,323,89,343,247,61,82,129,388,141,41,203,7,133,356,5.54,27.43,0.95,17.97,48.11,3736,2.33,2266,3.84,89,100,97,829,353,2,0.718,489,0.818,0.655,0.691,26,82,51,0,0.0,0,0.0,11.02,41.18,51.11,49,5.63,0,0.0,38,3933.75,117040.76,13585.69,0.005521,8904,4569,4335,105.4,8705,199,97.77,497,373,125,504,506,383,267,56,6.36,6,1.36,16,1.82,1,0.11,2,0.23,49,5.56,0,0.0,549.79,18.32,4.53,149.72899999999996,59.46743783769343
152,99.72,99.97,97.14,51088,13519,6418,3928,20896,6327,0.87,2934,2150,927,2184,1719,254,574,1277,2455,778,624,1365,57,939,2099,12.27,26.85,1.12,18.47,41.29,16740,1.58,9517,2.79,173,889,618,3245,2287,11,0.725,430,0.853,0.616,0.725,33,72,51,67,2.5,47,1.76,13.01,50.62,69.66,218,8.22,14,169.72,167,4218.24,653857.91,24856.79,0.030844,26972,13477,13495,99.87,26113,859,96.82,1554,1210,402,1557,1449,1033,713,36,1.35,55,4.11,36,1.35,2,0.07,41,1.53,142,5.31,5,0.37,616.58,17.53,4.51,632.972,42.61167950557054
153,99.71,99.85,99.42,3936,248,484,1044,1713,448,-0.27,115,130,23,79,128,15,52,25,112,56,15,40,1,23,166,6.12,16.33,0.41,9.39,67.76,1565,1.31,996,2.06,11,42,99,255,161,1,0.742,290,0.825,0.7090000000000001,0.6990000000000001,30,84,71,0,0.0,0,0.0,7.8,33.54,142.99,21,10.24,1,176.06,17,3786.19,44854.47,21795.18,0.002116,2040,1056,984,107.32,1915,125,93.87,77,65,22,80,78,78,55,2,0.98,4,3.91,7,3.42,2,0.98,1,0.49,13,6.35,0,0.0,560.96,14.72,2.92,77.939,26.17431581108303
154,99.31,99.96,98.69,44253,27220,1802,5814,6767,2650,-0.15,1712,1080,489,1276,899,128,279,624,1430,459,319,212,9,1410,842,11.43,7.59,0.32,50.5,30.16,5713,1.49,3472,2.45,62,285,237,805,852,0,0.738,321,0.8109999999999999,0.6890000000000001,0.718,43,70,45,14,1.65,14,1.65,10.11,40.47,117.18,83,9.76,4,160.0,64,3909.59,595048.62,69874.19,0.02807,8482,4261,4221,100.95,7778,704,91.7,346,275,92,366,370,301,210,13,1.53,18,4.24,9,1.06,0,0.0,1,0.12,32,3.77,1,0.24,621.72,15.29,5.14,205.874,41.19995725540864
155,99.71,99.71,96.57,94912,8874,26729,4001,43149,12158,0.4,6250,5176,1898,4732,4274,522,601,1627,6943,2255,216,1344,385,3558,5923,1.89,11.76,3.37,31.14,51.84,36012,1.24,18958,2.36,132,1500,1700,9419,4293,10,0.7759999999999999,83,0.8420000000000001,0.737,0.752,36,71,67,143,3.19,108,2.41,11.37,45.8,123.6,423,9.46,8,60.44,344,3963.59,1166834.86,26194.52,0.055043,44995,22124,22871,96.73,41798,3197,92.89,1839,1490,495,1898,1774,1376,1065,193,4.3,112,5.0,101,2.25,18,0.4,157,3.5,80,1.78,13,0.58,747.92,12.18,2.99,487.68800000000016,92.2618559406834
156,99.61,99.94,98.56,22956,3974,3457,2151,9756,3619,-0.23,1291,927,276,875,919,148,341,377,1187,313,212,447,180,492,887,9.56,20.15,8.12,22.18,39.99,7520,1.6,4549,2.64,83,334,230,1335,985,4,0.748,248,0.8370000000000001,0.698,0.716,30,68,55,87,7.25,77,6.42,11.22,44.35,117.71,98,8.15,3,86.16,77,3227.16,251938.6,20892.16,0.011885,11975,5788,6187,93.55,11044,931,92.23,506,407,136,532,526,442,308,40,3.33,31,5.17,29,2.42,8,0.67,25,2.08,120,10.0,1,0.17,605.48,19.35,4.97,264.557,45.26434756971086
157,99.91,99.91,99.3,23379,6808,2259,1662,8662,3988,1.65,1150,878,283,914,702,129,239,389,1161,239,257,932,60,357,422,12.67,45.96,2.96,17.6,20.81,4937,1.89,2857,3.26,57,419,224,591,788,1,0.7440000000000001,274,0.8490000000000001,0.674,0.72,38,72,63,0,0.0,0,0.0,14.16,49.36,72.68,53,5.69,1,30.13,36,2980.13,233970.87,25431.62,0.011037,9570,4779,4791,99.75,9392,178,98.14,438,318,105,425,450,384,281,16,1.69,7,1.48,11,1.16,2,0.21,1,0.11,26,2.75,0,0.0,600.51,17.92,6.5,111.376,85.92515443183451
158,98.51,100.0,96.77,9661,172,1414,2262,4140,1672,-0.17,538,335,115,364,353,41,86,118,504,165,265,45,19,188,356,30.36,5.15,2.18,21.53,40.78,3117,2.0,1941,3.21,32,190,55,393,505,1,0.745,265,0.8340000000000001,0.69,0.7190000000000001,28,63,55,0,0.0,0,0.0,15.24,62.05,95.11,52,8.34,5,267.52,39,3400.17,128090.37,20514.15,0.0060420000000000005,6217,3048,3169,96.18,5145,1072,82.76,312,243,81,323,317,216,159,41,6.59,8,2.57,22,3.53,1,0.16,3,0.48,24,3.85,1,0.32,579.22,23.99,5.82,515.258,12.065800045802295
159,99.27,99.77,90.51,12787,154,2074,1882,6973,1704,0.4,1507,738,365,918,877,85,564,500,909,272,928,164,24,299,830,41.34,7.31,1.07,13.32,36.97,4952,3.04,2380,6.33,69,303,112,1470,606,12,0.691,607,0.847,0.615,0.633,23,75,47,2,0.13,2,0.13,15.86,61.47,58.44,101,6.7,4,78.45,72,3399.43,362009.08,24150.04,0.017077000000000002,15236,7693,7543,101.99,7498,7738,49.21,1012,740,242,919,891,745,571,21,1.39,15,1.98,24,1.58,2,0.13,2,0.13,61,4.03,2,0.26,373.5,45.66,20.18,1654.256,9.210182704490721
160,96.78,100.0,97.56,82583,56077,3705,4863,13751,4187,0.96,3703,1447,820,2083,1933,314,1174,978,2515,483,292,2950,267,724,917,5.67,57.28,5.18,14.06,17.81,8225,2.07,4544,3.75,96,443,258,1879,999,6,0.695,599,0.8220000000000001,0.583,0.701,39,63,62,6,0.35,6,0.35,13.67,50.98,66.22,106,6.22,4,68.69,73,3354.78,632336.4,37414.14,0.029829,17346,8921,8425,105.89,14606,2740,84.2,859,648,215,854,869,705,522,20,1.16,11,1.28,16,0.93,0,0.0,2,0.12,69,4.01,0,0.0,527.37,23.97,8.76,202.36,85.71852144692627
161,99.34,100.0,98.13,5386,183,862,600,2716,1025,1.17,375,180,56,200,255,44,150,109,236,60,219,20,34,65,217,39.46,3.6,6.13,11.71,39.1,1627,2.11,1004,3.41,11,71,62,288,191,0,0.747,252,0.825,0.7120000000000001,0.711,31,82,65,0,0.0,0,0.0,9.92,38.33,100.18,28,8.17,0,0.0,21,3750.0,67897.63,20011.09,0.003203,3499,1817,1682,108.03,3267,232,93.37,148,110,37,152,158,104,81,16,4.62,6,3.46,7,2.02,1,0.29,3,0.87,11,3.18,2,1.15,618.39,8.65,2.01,93.98,37.23132581400298
162,98.11,99.27,94.34,4390,1105,249,732,1768,535,-0.06,186,159,17,120,174,34,50,90,131,74,49,42,0,32,222,14.2,12.17,0.0,9.28,64.35,1234,1.95,782,3.08,27,83,61,114,167,0,0.73,388,0.84,0.6409999999999999,0.723,28,60,61,0,0.0,0,0.0,9.96,40.47,105.8,14,5.81,3,428.57,10,2283.11,54347.45,22569.54,0.002564,2409,1246,1163,107.14,2139,270,88.79,102,85,28,110,106,92,62,21,8.72,3,2.49,5,2.08,0,0.0,0,0.0,8,3.32,1,0.83,683.03,12.09,2.74,83.12899999999998,28.979056646898197
163,98.01,99.32,72.78,479035,171401,87329,1052,197056,22198,1.22,26328,17932,7276,20372,15233,1379,3963,7100,26475,6722,36,8160,1133,11128,23803,0.08,18.44,2.56,25.14,53.78,114715,2.31,70386,3.76,765,3450,2556,24718,12777,63,0.735,345,0.8390000000000001,0.6759999999999999,0.7,41,69,48,244,0.91,89,0.33,16.04,55.48,43.39,1393,5.26,115,130.94,859,3233.94,11713048.88,44734.3,0.5525399999999999,270790,131608,139182,94.56,270790,0,100.0,16655,13690,4525,16778,14639,11422,8272,1388,5.18,122,0.91,567,2.12,13,0.05,56,0.21,1311,4.9,15,0.11,474.17,29.22,11.77,70.398,3846.558140856274
164,79.27,98.18,41.79,92165,24348,12406,6026,41110,8275,0.82,4774,3465,1272,3501,3135,331,586,1256,4988,1409,184,3047,80,2014,2914,2.23,36.98,0.97,24.44,35.37,39031,1.72,23601,2.84,373,2705,543,6239,5530,40,0.7490000000000001,236,0.8340000000000001,0.708,0.713,35,71,55,17,0.25,17,0.25,14.82,53.12,59.19,536,8.0,23,102.55,376,4506.23,1043490.42,15698.67,0.049225,68053,33656,34397,97.85,66238,1815,97.33,3734,2850,944,3668,3623,2990,2217,451,6.68,70,2.07,167,2.47,8,0.12,24,0.36,239,3.54,7,0.21,516.15,30.36,12.35,155.641,437.24339987535416
165,99.3,99.53,98.12,4421,76,504,904,2186,751,0.16,177,163,13,113,186,28,34,39,176,91,29,25,15,37,234,8.53,7.35,4.41,10.88,68.82,1654,1.85,953,3.21,14,58,39,390,200,0,0.727,418,0.805,0.691,0.69,25,69,57,0,0.0,0,0.0,11.1,43.98,122.79,32,10.45,4,444.44,22,3678.93,60724.92,19851.23,0.002865,3068,1534,1534,100.0,2692,376,87.74,124,92,31,124,133,111,77,19,6.2,3,1.96,11,3.59,1,0.33,5,1.63,26,8.48,0,0.0,559.19,20.53,4.03,225.167,13.625442449382017
166,97.65,99.7,97.14,103623,70020,10123,8483,12758,2239,2.75,2675,1837,811,2024,1544,133,433,669,2352,1058,445,1153,14,640,2260,9.86,25.55,0.31,14.18,50.09,10064,1.95,5216,3.76,197,535,279,2512,1324,1,0.732,370,0.815,0.6679999999999999,0.72,36,73,53,0,0.0,0,0.0,15.13,53.08,40.46,100,5.09,11,148.19,57,3315.88,596633.14,31090.84,0.028145,20535,10661,9874,107.97,15639,4896,76.16,1178,865,286,1131,1135,894,640,1,0.05,28,2.79,10,0.5,4,0.2,34,1.69,14,0.7,0,0.0,616.17,22.61,7.52,109.941,186.78200125521874
167,98.99,99.88,98.71,78282,13945,13388,11194,31417,8339,0.16,6606,5102,1685,4763,4566,694,1285,2475,6252,1696,1244,4809,213,1921,3521,10.63,41.07,1.82,16.41,30.07,29518,1.44,17474,2.43,84,796,365,6854,3940,5,0.787,46,0.872,0.7120000000000001,0.784,38,70,55,452,10.63,354,8.33,11.0,41.8,103.45,409,9.63,17,132.61,316,4278.36,1259011.92,29690.18,0.059391,42573,20804,21769,95.57,38837,3736,91.22,1821,1473,490,1900,1824,1468,1098,280,6.59,68,3.2,101,2.38,11,0.26,76,1.79,186,4.37,4,0.19,741.6,14.92,4.28,389.235,109.376083856796
168,99.46,100.0,98.04,5657,87,638,1339,2642,951,1.25,197,229,44,170,190,22,82,43,212,89,83,6,5,75,257,19.48,1.41,1.17,17.61,60.33,2334,2.01,1332,3.52,37,209,132,269,355,0,0.696,596,0.8190000000000001,0.609,0.675,26,71,47,0,0.0,0,0.0,13.23,48.78,56.71,31,6.62,0,0.0,19,3304.35,71536.39,15453.96,0.003375,4799,2395,2404,99.63,4105,694,85.54,274,200,66,263,269,220,154,18,3.8,3,1.27,7,1.48,0,0.0,0,0.0,14,2.95,0,0.0,476.15,23.38,6.55,193.666,24.779775489760734
169,97.92,99.15,96.36,20384,4758,3971,1969,7337,2349,1.0,1632,714,272,1022,928,124,479,383,1129,355,342,558,488,211,747,14.58,23.79,20.8,8.99,31.84,6943,1.57,3872,2.81,32,427,249,1628,734,1,0.74,306,0.815,0.695,0.716,34,78,53,0,0.0,0,0.0,12.6,45.64,73.26,84,7.72,5,138.24,62,4229.2,313227.94,29064.48,0.014776,11079,5523,5556,99.41,8837,2242,79.76,537,388,129,520,543,412,304,31,2.82,5,0.91,10,0.91,0,0.0,1,0.09,65,5.92,0,0.0,581.02,17.11,4.11,74.14399999999998,149.42544238239103
170,99.21,99.91,97.33,40815,24814,2449,4452,6868,2232,-0.14,1998,1330,611,1372,1234,111,736,641,1500,451,192,2065,19,277,775,5.77,62.05,0.57,8.32,23.29,6283,1.29,3355,2.42,39,337,362,1401,789,0,0.76,164,0.873,0.705,0.7120000000000001,40,77,70,66,8.14,61,7.52,10.22,40.93,120.52,88,10.84,2,87.64,71,4476.67,859458.84,105688.5,0.040543,8094,4056,4038,100.45,7059,1035,87.21,326,267,89,349,339,280,198,18,2.22,19,4.69,25,3.08,2,0.25,12,1.48,33,4.07,0,0.0,695.99,18.02,6.65,296.281,27.318660325839318
171,98.87,99.03,97.74,3355,42,352,671,1631,659,0.03,134,181,14,92,182,27,55,142,53,65,41,2,3,27,242,13.02,0.63,0.95,8.57,76.83,1165,2.28,830,3.21,9,30,30,115,151,0,0.74,306,0.818,0.7140000000000001,0.693,29,84,68,0,0.0,0,0.0,10.9,43.48,75.15,17,6.39,0,0.0,13,3359.17,64469.57,24254.92,0.003041,2665,1357,1308,103.75,2307,358,86.57,127,93,31,135,149,101,71,4,1.5,1,0.75,6,2.25,0,0.0,1,0.38,11,4.13,1,0.75,566.78,23.98,5.71,264.987,10.057097140614443
172,98.97,99.13,93.48,11622,35,1275,4557,4241,1515,-0.06,359,385,82,261,373,28,88,95,432,129,119,30,12,115,468,15.99,4.03,1.61,15.46,62.9,4424,2.15,2409,3.95,57,125,121,1283,429,0,0.7040000000000001,560,0.802,0.655,0.6629999999999999,21,63,51,0,0.0,0,0.0,12.29,46.23,69.2,81,8.51,2,64.62,54,3973.51,109934.97,11555.07,0.005186,9537,4753,4784,99.35,6155,3382,64.54,502,366,122,499,530,418,307,28,2.94,9,1.89,11,1.15,2,0.21,7,0.73,2,0.21,1,0.21,400.5,38.11,14.45,573.894,16.61805141716066
